ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Value_in_Source
364,Amundava,a_u0061,a,,,sampaio1998a,a
365,Amundava,a_u0061u0303,ã,,,sampaio1998a,ã
366,AncashQ,p_u0070,p,,,julca2009a,p
367,AncashQ,t_u0074,t,,,julca2009a,t
368,AncashQ,k_u006B,k,,,julca2009a,k
369,AncashQ,q_u0071,q,,,julca2009a,q
370,AncashQ,ts_u0074u0073,ts,,,julca2009a,ts
371,AncashQ,ts_u0074u0283,tʃ,,,julca2009a,tʃ
372,AncashQ,ts_u0288u0282,ʈʂ,,,julca2009a,ʈʂ
373,AncashQ,s_u0073,s,,,julca2009a,s
374,AncashQ,s_u0283,ʃ,,,julca2009a,ʃ
375,AncashQ,h_u0068,h,,,julca2009a,h
376,AncashQ,m_u006D,m,,,julca2009a,m
377,AncashQ,n_u006E,n,,,julca2009a,n
378,AncashQ,n_u0272,ɲ,,,julca2009a,ɲ
379,AncashQ,j_u006A,j,,,julca2009a,j
380,AncashQ,w_u0077,w,,,julca2009a,w
381,AncashQ,r_u027E,ɾ,,,julca2009a,ɾ
382,AncashQ,l_u006C,l,,,julca2009a,l
383,AncashQ,y_u028E,ʎ,,,julca2009a,ʎ
384,AncashQ,i_u0069,i,,,julca2009a,i
385,AncashQ,i_u0069u02D0,iː,,,julca2009a,iː
386,AncashQ,u_u0075,u,,,julca2009a,u
387,AncashQ,u_u0075u02D0,uː,,,julca2009a,uː
388,AncashQ,a_u0061,a,,,julca2009a,a
389,AncashQ,a_u0061u02D0,aː,,,julca2009a,aː
390,Andoa,p_u0070,p,,,michael-b,p
391,Andoa,pj_u0070u02B2,pʲ,,,michael-b,pʲ
392,Andoa,t_u0074,t,,,michael-b,t
393,Andoa,tj_u0074u02B2,tʲ,,,michael-b,tʲ
394,Andoa,k_u006B,k,,,michael-b,k
395,Andoa,kj_u006Bu02B2,kʲ,,,michael-b,kʲ
396,Andoa,kw_u006Bu02B7,kʷ,,,michael-b,kʷ
397,Andoa,ts_u0074u0073,ts,,,michael-b,ts
398,Andoa,ts_u0074u0283,tʃ,,,michael-b,tʃ
399,Andoa,s_u0073,s,,,michael-b,s
400,Andoa,s_u0283,ʃ,,,michael-b,ʃ
401,Andoa,hw_u0068u02B7,hʷ,,,michael-b,hʷ
402,Andoa,h_u0068,h,,,michael-b,h
403,Andoa,m_u006D,m,,,michael-b,m
404,Andoa,n_u006E,n,,,michael-b,n
405,Andoa,n_u0272,ɲ,,,michael-b,ɲ
406,Andoa,j_u006A,j,,,michael-b,j
407,Andoa,w_u0077,w,,,michael-b,w
408,Andoa,r_u027E,ɾ,,,michael-b,ɾ
409,Andoa,rj_u027Eu02B2,ɾʲ,,,michael-b,ɾʲ
410,Andoa,i_u0069,i,,,michael-b,i
411,Andoa,i_u0268,ɨ,,,michael-b,ɨ
412,Andoa,u_u0075,u,,,michael-b,u
413,Andoa,o_u006Fu031D,o̝,,,michael-b,o̝
414,Andoa,a_u0061,a,,,michael-b,a
415,Andoke,p_u0070,p,,,lanaburu2000a,p
416,Andoke,t_u0074,t,,,lanaburu2000a,t
417,Andoke,k_u006B,k,,,lanaburu2000a,k
418,Andoke,b_u0062,b,,,lanaburu2000a,b
419,Andoke,d_u0064,d,,,lanaburu2000a,d
420,Andoke,j_u025F,ɟ,,,lanaburu2000a,ɟ
421,Andoke,f_u0278,ɸ,,,lanaburu2000a,ɸ
422,Andoke,s_u0073,s,,,lanaburu2000a,s
423,Andoke,h_u0068,h,,,lanaburu2000a,h
424,Andoke,n_u0272,ɲ,,,lanaburu2000a,ɲ
425,Andoke,r_u027E,ɾ,,,lanaburu2000a,ɾ
426,Andoke,i_u0069,i,,,lanaburu2000a,i
427,Andoke,i_u0069u0303,ĩ,,,lanaburu2000a,ĩ
428,Andoke,i_u0069u02D0,iː,,,lanaburu2000a,iː
429,Andoke,w_u026F,ɯ,,,lanaburu2000a,ɯ
430,Andoke,w_u026Fu02D0,ɯː,,,lanaburu2000a,ɯː
431,Andoke,u_u0075,u,,,lanaburu2000a,u
432,Andoke,u_u0075u02D0,uː,,,lanaburu2000a,uː
433,Andoke,e_u0065,e,,,lanaburu2000a,e
434,Andoke,e_u0065u0303,ẽ,,,lanaburu2000a,ẽ
435,Andoke,e_u0065u02D0,eː,,,lanaburu2000a,eː
436,Andoke,u_u0264,ɤ,,,lanaburu2000a,ɤ
437,Andoke,u_u0264u0303,ɤ̃,,,lanaburu2000a,ɤ̃
438,Andoke,u_u0264u02D0,ɤː,,,lanaburu2000a,ɤː
439,Andoke,o_u006F,o,,,lanaburu2000a,o
440,Andoke,o_u006Fu0303,õ,,,lanaburu2000a,õ
441,Andoke,o_u006Fu02D0,oː,,,lanaburu2000a,oː
442,Andoke,a_u0061,a,,,lanaburu2000a,a
443,Andoke,a_u0061u0303,ã,,,lanaburu2000a,ã
444,Andoke,a_u0061u02D0,aː,,,lanaburu2000a,aː
445,Andoke,a_u0251,ɑ,,,lanaburu2000a,ɑ
446,Andoke,a_u0251u02D0,ɑː,,,lanaburu2000a,ɑː
447,Andoke,a_u0252,ɒ,,,lanaburu2000a,ɒ
